Time	UTC	ROTORCRAFT_STATUS:cpu_time	ROTORCRAFT_STATUS:vsupply	ROTORCRAFT_STATUS:ap_v_mode	ROTORCRAFT_STATUS:ap_h_mode	ROTORCRAFT_STATUS:arming_status	ROTORCRAFT_STATUS:ap_motors_on	ROTORCRAFT_STATUS:ap_in_flight	ROTORCRAFT_STATUS:ap_mode	ROTORCRAFT_STATUS:gps_status	ROTORCRAFT_STATUS:frame_rate	ROTORCRAFT_STATUS:rc_status	ROTORCRAFT_STATUS:motor_nb_err	ROTORCRAFT_STATUS:link_imu_nb_err	VIRT_BARO:PRESSURE	VIRT_BARO:FILT_HEIGHT	VIRT_BARO:HEIGHT	VIRT_BARO:ADC	INS:ins_zdd	INS:ins_ydd	INS:ins_xdd	INS:ins_zd	INS:ins_yd	INS:ins_xd	INS:ins_z	INS:ins_y	INS:ins_x	ROTORCRAFT_NAV_STATUS:horizontal_mode	ROTORCRAFT_NAV_STATUS:cur_stage	ROTORCRAFT_NAV_STATUS:cur_block	ROTORCRAFT_NAV_STATUS:dist_wp	ROTORCRAFT_NAV_STATUS:dist_home	ROTORCRAFT_NAV_STATUS:stage_time	ROTORCRAFT_NAV_STATUS:block_time	GPS_INT:comp_id	GPS_INT:fix	GPS_INT:numsv	GPS_INT:pdop	GPS_INT:tow	GPS_INT:sacc	GPS_INT:pacc	GPS_INT:ecef_zd	GPS_INT:ecef_yd	GPS_INT:ecef_xd	GPS_INT:hmsl	GPS_INT:alt	GPS_INT:lon	GPS_INT:lat	GPS_INT:ecef_z	GPS_INT:ecef_y	GPS_INT:ecef_x	ROTORCRAFT_FP:flight_time	ROTORCRAFT_FP:thrust	ROTORCRAFT_FP:carrot_psi	ROTORCRAFT_FP:carrot_up	ROTORCRAFT_FP:carrot_north	ROTORCRAFT_FP:carrot_east	ROTORCRAFT_FP:psi	ROTORCRAFT_FP:theta	ROTORCRAFT_FP:phi	ROTORCRAFT_FP:vup	ROTORCRAFT_FP:vnorth	ROTORCRAFT_FP:veast	ROTORCRAFT_FP:up	ROTORCRAFT_FP:north	ROTORCRAFT_FP:east	HOVER_LOOP:cmd_heading	HOVER_LOOP:cmd_y	HOVER_LOOP:cmd_x	HOVER_LOOP:err_sum_y	HOVER_LOOP:err_sum_x	HOVER_LOOP:err_yd	HOVER_LOOP:err_xd	HOVER_LOOP:err_y	HOVER_LOOP:err_x	HOVER_LOOP:est_ydd	HOVER_LOOP:est_xdd	HOVER_LOOP:est_yd	HOVER_LOOP:est_xd	HOVER_LOOP:est_y	HOVER_LOOP:est_x	HOVER_LOOP:sp_y	HOVER_LOOP:sp_x	VERT_LOOP:delta_t	VERT_LOOP:fb_cmd	VERT_LOOP:ff_cmd	VERT_LOOP:sum_err	VERT_LOOP:adp_meas	VERT_LOOP:adp_cov	VERT_LOOP:adp_inv_m	VERT_LOOP:ref_zdd	VERT_LOOP:ref_zd	VERT_LOOP:ref_z	VERT_LOOP:est_zdd	VERT_LOOP:est_zd	VERT_LOOP:est_z	VERT_LOOP:zd_sp	VERT_LOOP:z_sp	ROTORCRAFT_CMD:cmd_thrust	ROTORCRAFT_CMD:cmd_yaw	ROTORCRAFT_CMD:cmd_pitch	ROTORCRAFT_CMD:cmd_roll	IMU_MAG_SCALED:mz	IMU_MAG_SCALED:my	IMU_MAG_SCALED:mx	IMU_ACCEL_SCALED:az	IMU_ACCEL_SCALED:ay	IMU_ACCEL_SCALED:ax	IMU_GYRO_SCALED:gr	IMU_GYRO_SCALED:gq	IMU_GYRO_SCALED:gp	ENERGY:power	ENERGY:energy	ENERGY:amp	ENERGY:bat	ATTITUDE:theta	ATTITUDE:psi	ATTITUDE:phi
8.817	11:52:48.578	8	121	1	2	0	1	0	4	3	91	0	1	0	101322.695312	0.192188	0.192188	200	52	-2473	1548	-6915	0	0	-48	-7882	522	0	1	0	0.	30.9	0	8	0	3	8	170	9000	0	0	0	0	0	0	0	116452866	521379633	501224000	79183608	384210464	0	-1334	0	48	0	0	4452	-85	-1096	7918	0	0	48	522	-7882	0.	0	0	0	0	0	0	0	0	-1611	1745	0	0	-7882	522	0	0	0	0	0	0	0	26214	57147	0	0	0	52	-6915	-48	0	-48	-1334	0	157	535	1809	173	1292	-9417	799	-1388	-104	-292	104	-260.762817	0	-21.374001	12.2	-0.02098	1.08739	-0.267577
8.917	11:52:48.678	8	121	1	2	0	1	0	4	3	91	0	1	0	101319.203125	0.482422	0.482422	500	1341	-1273	3094	-38673	0	0	-64	-7882	522	0	1	0	0.	30.9	0	8	0	3	8	170	9100	0	0	0	0	0	0	0	116452866	521379633	501224000	79183608	384210464	0	-1313	0	64	0	0	4522	65	-1023	37169	0	0	64	522	-7882	0.	0	0	0	0	0	0	0	0	-2127	2334	0	0	-7882	522	0	0	0	0	0	0	0	26214	57147	0	0	0	1341	-38673	-64	0	-64	-1313	0	-103	431	1801	136	1269	-10300	206	-671	156	627	-579	-261.142212	0	-21.582001	12.1	0.013714	1.102177	-0.249818
9.017	11:52:48.778	8	121	1	2	0	1	0	4	3	91	0	1	0	101322.679688	0.192969	0.192969	200	588	-2254	2005	-24973	0	0	-62	-7882	522	0	1	0	0.	30.9	0	8	0	3	8	170	9200	0	0	0	0	0	0	0	116452866	521379633	501224000	79183608	384210464	0	-1313	0	62	0	0	4632	92	-1033	24841	0	0	62	522	-7882	0.	0	0	0	0	0	0	0	0	-2615	1552	0	0	-7882	522	0	0	0	0	0	0	0	26214	57147	0	0	0	588	-24973	-62	0	-62	-1313	0	-75	478	1813	214	1238	-9442	-166	-1505	13	187	-43	-259.097321	0	-21.413	12.1	0.022977	1.131173	-0.251916
9.117	11:52:48.878	8	121	1	2	0	1	0	4	3	91	0	1	0	101322.671875	0.19375	0.19375	200	386	-1989	1936	-12739	0	0	-60	-7882	522	0	1	0	0.	30.9	0	8	0	3	8	170	9300	0	0	0	0	0	0	0	116452866	521379633	501224000	79183608	384210464	0	-1313	0	60	0	0	4702	176	-1002	12267	0	0	60	522	-7882	0.	0	0	0	0	0	0	0	0	-2752	984	0	0	-7882	522	0	0	0	0	0	0	0	26214	57147	0	0	0	386	-12739	-60	0	-60	-1313	0	-168	485	1805	214	1178	-9574	-269	-627	579	963	313	-256.580505	0	-21.205	12.1	0.043706	1.148579	-0.244691
9.217	11:52:48.978	8	121	1	2	0	1	0	4	3	91	0	1	0	101322.671875	0.19375	0.19375	200	216	-1496	2127	-4237	0	0	-58	-7882	522	0	1	0	0.	30.9	0	8	0	3	8	170	9400	0	0	0	0	0	0	0	116452866	521379633	501224000	79183608	384210464	0	-1313	0	58	0	0	4835	274	-974	4290	0	0	58	522	-7882	0.	0	0	0	0	0	0	0	0	-2250	2405	0	0	-7882	522	0	0	0	0	0	0	0	26214	57147	0	0	0	216	-4237	-58	0	-58	-1313	0	-148	479	1805	222	1174	-9859	225	245	0	496	104	-257.367004	0	-21.27	12.1	0.067383	1.180664	-0.237793
9.317	11:52:49.078	8	121	1	2	0	1	0	4	3	91	0	1	0	101320.015625	0.414883	0.414883	430	356	-2422	2095	-21475	0	0	-68	-7882	522	0	1	0	0.	30.9	0	8	0	3	8	170	9500	0	0	0	0	0	0	0	116452866	521379633	501224000	79183608	384210464	0	-1313	0	68	0	0	4982	337	-996	22343	0	0	68	522	-7882	0.	0	0	0	0	0	0	0	0	-2075	1691	0	0	-7882	522	0	0	0	0	0	0	0	26214	57147	0	0	0	356	-21475	-68	0	-68	-1313	0	-71	506	1830	292	1166	-9496	461	348	671	335	-797	-258.782684	0	-21.386999	12.1	0.081515	1.21323	-0.242949
9.417	11:52:49.178	8	121	1	2	0	1	0	4	3	91	0	1	0	101318.570312	0.535488	0.535488	555	1472	-1963	2585	-53360	0	0	-83	-7882	522	0	1	0	0.	30.9	0	8	0	3	8	170	9600	0	0	0	0	0	0	0	116452866	521379633	501224000	79183608	384210464	0	-1313	0	83	0	0	5123	436	-962	53364	0	0	83	522	-7882	0.	0	0	0	0	0	0	0	0	-2195	2243	0	0	-7882	522	0	0	0	0	0	0	0	26214	57147	0	0	0	1472	-53360	-83	0	-83	-1313	0	-276	385	1801	273	1113	-9270	480	-495	401	1425	-34	-259.88382	0	-21.478001	12.1	0.107056	1.251061	-0.234443
9.517	11:52:49.278	8	121	1	2	0	1	0	4	3	91	0	1	0	101317.875	0.593379	0.593379	615	1896	-1158	2531	-54279	0	0	-99	-7882	522	0	1	0	0.	30.9	0	8	0	3	8	170	9700	0	0	0	0	0	0	0	116452866	521379633	501224000	79183608	384210464	0	-1313	0	99	0	0	5282	516	-932	53621	0	0	99	522	-7882	0.	0	0	0	0	0	0	0	0	-1877	2349	0	0	-7882	522	0	0	0	0	0	0	0	26214	57147	0	0	0	1896	-54279	-99	0	-99	-1313	0	-181	468	1951	244	1033	-7023	-1226	-323	1294	-379	-514	-259.097321	0	-21.413	12.1	0.126127	1.290652	-0.227339
9.617	11:52:49.378	8	121	1	2	0	1	0	4	3	91	0	1	0	101317.585938	0.6175	0.6175	640	1726	-1558	2085	-29794	0	0	-101	-7882	522	0	1	0	0.	30.9	0	8	0	3	8	170	9800	0	0	0	0	0	0	0	116452866	521379633	501224000	79183608	384210464	0	-1313	0	112	0	0	5432	516	-887	54052	0	0	112	522	-7882	0.	0	0	0	0	0	0	0	0	-697	2380	0	0	-7882	522	0	0	0	0	0	0	0	26214	57147	0	0	0	2624	-56055	-112	0	-112	-1313	0	-173	405	1801	222	991	-7588	-1937	-98	1076	-292	235	-259.88382	0	-21.478001	12.1	0.12619	1.327525	-0.216154
9.717	11:52:49.478	9	121	1	2	0	1	0	4	3	90	0	1	0	101317.40625	0.631973	0.631973	655	-1447	-723	2081	-86128	0	0	-125	-7882	522	0	1	0	0.	30.9	0	8	0	3	8	170	9900	0	0	0	0	0	0	0	116452866	521379633	501224000	79183608	384210464	0	-1313	0	124	0	0	5708	491	-934	80376	0	0	124	522	-7882	0.	0	0	0	0	0	0	0	0	-304	1783	0	0	-7882	522	0	0	0	0	0	0	0	26214	57147	0	0	0	-1447	-86128	-125	0	-125	-1313	0	-137	477	1826	181	1052	-8701	166	-578	2026	-427	43	-260.827606	0	-21.556	12.1	0.120119	1.395073	-0.227752
